source_concept_id,codigo_fuente,cause_level,cause_name,level_1_name,level_2_name,level_3_name,level_4_name,cie10,regex_r,yll_flag,yld_flag,burden_component_class,redistribution_target_eligible_default,abds_target_scope_excluded,australia_check,australia_note,classification_basis,evidence_source,suggested_redistribution_pool,conflict_or_review_flag
9000100,100,3,VIH/SIDA,"Condiciones transmisibles, maternas, perinatales y nutricionales",Enfermedades infecciosas y parasitarias,VIH/SIDA,,B20-B24,^(?:B(?:20|21|22|23|24)[0-9]?).*,1,1,both,1,0,not_checked,,Derived from descendants: mixed and/or both components present,Derived from project hierarchy / default unless contradicted by GBD or ABDS,,0
9000101,101,4,VIH que resulta en tuberculosis,"Condiciones transmisibles, maternas, perinatales y nutricionales",Enfermedades infecciosas y parasitarias,VIH/SIDA,VIH que resulta en tuberculosis,B20.0,^(?:B200).*,1,1,both,1,0,not_checked,,Default structural rule: treat as potentially fatal and non-fatal unless explicit GBD/ABDS evidence indicates otherwise,Derived from project hierarchy / default unless contradicted by GBD or ABDS,,1
9000102,102,4,VIH que resulta en otras enfermedades,"Condiciones transmisibles, maternas, perinatales y nutricionales",Enfermedades infecciosas y parasitarias,VIH/SIDA,VIH que resulta en otras enfermedades,B20-B24 (menos B20.0),^(?!B200$)(?:B(?:20|21|22|23|24)[0-9]?).*,1,1,both,1,0,not_checked,,Default structural rule: treat as potentially fatal and non-fatal unless explicit GBD/ABDS evidence indicates otherwise,Derived from project hierarchy / default unless contradicted by GBD or ABDS,,1
9000110,110,3,Enfermedades diarreicas,"Condiciones transmisibles, maternas, perinatales y nutricionales",Enfermedades infecciosas y parasitarias,Enfermedades diarreicas,,"A00, A01, A03, A04, A06-A09",^(?:A00[0-9]?|A01[0-9]?|A03[0-9]?|A04[0-9]?|A(?:06|07|08|09)[0-9]?).*,1,1,both,1,0,not_checked,,Default structural rule: treat as potentially fatal and non-fatal unless explicit GBD/ABDS evidence indicates otherwise,Derived from project hierarchy / default unless contradicted by GBD or ABDS,,1
9000120,120,3,Enfermedades agrupadas de la infancia,"Condiciones transmisibles, maternas, perinatales y nutricionales",Enfermedades infecciosas y parasitarias,Enfermedades agrupadas de la infancia,,"A33-A37, B05",^(?:A(?:33|34|35|36|37)[0-9]?|B05[0-9]?).*,1,1,both,1,0,not_checked,,Derived from descendants: mixed and/or both components present,Derived from project hierarchy / default unless contradicted by GBD or ABDS,,0
9000130,130,4,Tos ferina,"Condiciones transmisibles, maternas, perinatales y nutricionales",Enfermedades infecciosas y parasitarias,Enfermedades agrupadas de la infancia,Tos ferina,A37,^(?:A37[0-9]?).*,1,1,both,1,0,not_checked,,Default structural rule: treat as potentially fatal and non-fatal unless explicit GBD/ABDS evidence indicates otherwise,Derived from project hierarchy / default unless contradicted by GBD or ABDS,,1
9000140,140,4,Difteria,"Condiciones transmisibles, maternas, perinatales y nutricionales",Enfermedades infecciosas y parasitarias,Enfermedades agrupadas de la infancia,Difteria,A36,^(?:A36[0-9]?).*,1,1,both,1,0,not_checked,,Default structural rule: treat as potentially fatal and non-fatal unless explicit GBD/ABDS evidence indicates otherwise,Derived from project hierarchy / default unless contradicted by GBD or ABDS,,1
9000150,150,4,Sarampión,"Condiciones transmisibles, maternas, perinatales y nutricionales",Enfermedades infecciosas y parasitarias,Enfermedades agrupadas de la infancia,Sarampión,B05,^(?:B05[0-9]?).*,1,1,both,1,0,not_checked,,Default structural rule: treat as potentially fatal and non-fatal unless explicit GBD/ABDS evidence indicates otherwise,Derived from project hierarchy / default unless contradicted by GBD or ABDS,,1
9000160,160,4,Tetanos,"Condiciones transmisibles, maternas, perinatales y nutricionales",Enfermedades infecciosas y parasitarias,Enfermedades agrupadas de la infancia,Tetanos,A33-A35,^(?:A(?:33|34|35)[0-9]?).*,1,1,both,1,0,not_checked,,Default structural rule: treat as potentially fatal and non-fatal unless explicit GBD/ABDS evidence indicates otherwise,Derived from project hierarchy / default unless contradicted by GBD or ABDS,,1
9000170,170,3,Meningitis,"Condiciones transmisibles, maternas, perinatales y nutricionales",Enfermedades infecciosas y parasitarias,Meningitis,,"A39, G00, G03",^(?:A39[0-9]?|G00[0-9]?|G03[0-9]?).*,1,1,both,1,0,not_checked,,Default structural rule: treat as potentially fatal and non-fatal unless explicit GBD/ABDS evidence indicates otherwise,Derived from project hierarchy / default unless contradicted by GBD or ABDS,,1
9000180,180,3,Encefalitis,"Condiciones transmisibles, maternas, perinatales y nutricionales",Enfermedades infecciosas y parasitarias,Encefalitis,,"A83-A86, B94.1, G04",^(?:A(?:83|84|85|86)[0-9]?|B941|G04[0-9]?).*,1,1,both,1,0,not_checked,,Default structural rule: treat as potentially fatal and non-fatal unless explicit GBD/ABDS evidence indicates otherwise,Derived from project hierarchy / default unless contradicted by GBD or ABDS,,1
9000185,185,3,Hepatitis,"Condiciones transmisibles, maternas, perinatales y nutricionales",Enfermedades infecciosas y parasitarias,Hepatitis,,B15-B19 (menos B17.8),^(?!B178$)(?:B(?:15|16|17|18|19)[0-9]?).*,1,1,both,1,0,not_checked,,Derived from descendants: mixed and/or both components present,Derived from project hierarchy / default unless contradicted by GBD or ABDS,,0
9000186,186,4,Hepatitis aguda A,"Condiciones transmisibles, maternas, perinatales y nutricionales",Enfermedades infecciosas y parasitarias,Hepatitis,Hepatitis aguda A,B15,^(?:B15[0-9]?).*,1,1,both,1,0,not_checked,,Default structural rule: treat as potentially fatal and non-fatal unless explicit GBD/ABDS evidence indicates otherwise,Derived from project hierarchy / default unless contradicted by GBD or ABDS,,1
9000190,190,4,Hepatitis aguda B,"Condiciones transmisibles, maternas, perinatales y nutricionales",Enfermedades infecciosas y parasitarias,Hepatitis,Hepatitis aguda B,"B16-B19 (menos B17.1, B17.2, B18.2, B18.8)",^(?!B171$)(?!B172$)(?!B182$)(?!B188$)(?:B(?:16|17|18|19)[0-9]?).*,1,1,both,1,0,not_checked,,Default structural rule: treat as potentially fatal and non-fatal unless explicit GBD/ABDS evidence indicates otherwise,Derived from project hierarchy / default unless contradicted by GBD or ABDS,,1
9000200,200,4,Hepatitis aguda C,"Condiciones transmisibles, maternas, perinatales y nutricionales",Enfermedades infecciosas y parasitarias,Hepatitis,Hepatitis aguda C,"B17.1, B18.2",^(?:B171|B182).*,1,1,both,1,0,not_checked,,Default structural rule: treat as potentially fatal and non-fatal unless explicit GBD/ABDS evidence indicates otherwise,Derived from project hierarchy / default unless contradicted by GBD or ABDS,,1
9000205,205,4,Hepatitis aguda D,"Condiciones transmisibles, maternas, perinatales y nutricionales",Enfermedades infecciosas y parasitarias,Hepatitis,Hepatitis aguda D,"B17.2, B18.8",^(?:B172|B188).*,1,1,both,1,0,not_checked,,Default structural rule: treat as potentially fatal and non-fatal unless explicit GBD/ABDS evidence indicates otherwise,Derived from project hierarchy / default unless contradicted by GBD or ABDS,,1
9000210,210,3,Enfermedades parasitarias y transmitidas por vectores,"Condiciones transmisibles, maternas, perinatales y nutricionales",Enfermedades infecciosas y parasitarias,Enfermedades parasitarias y transmitidas por vectores,,"A71, A82, A90-A91, A95, B50-B57, B65, B67, B69, B73, B74.0-B74.2, P37.3-P37.4",^(?:A71[0-9]?|A82[0-9]?|A(?:90|91)[0-9]?|A95[0-9]?|B(?:50|51|52|53|54|55|56|57)[0-9]?|B65[0-9]?|B67[0-9]?|B69[0-9]?|B73[0-9]?|B74[0-2]|P37[3-4]).*,1,1,both,1,0,not_checked,,Derived from descendants: mixed and/or both components present,Derived from project hierarchy / default unless contradicted by GBD or ABDS,,0
9000220,220,4,Malaria,"Condiciones transmisibles, maternas, perinatales y nutricionales",Enfermedades infecciosas y parasitarias,Enfermedades parasitarias y transmitidas por vectores,Malaria,"B50-B54, P37.3, P37.4",^(?:B(?:50|51|52|53|54)[0-9]?|P373|P374).*,1,1,both,1,0,not_checked,,Default structural rule: treat as potentially fatal and non-fatal unless explicit GBD/ABDS evidence indicates otherwise,Derived from project hierarchy / default unless contradicted by GBD or ABDS,,1
9000230,230,4,Tripanosomiasis,"Condiciones transmisibles, maternas, perinatales y nutricionales",Enfermedades infecciosas y parasitarias,Enfermedades parasitarias y transmitidas por vectores,Tripanosomiasis,B56,^(?:B56[0-9]?).*,1,1,both,1,0,not_checked,,Default structural rule: treat as potentially fatal and non-fatal unless explicit GBD/ABDS evidence indicates otherwise,Derived from project hierarchy / default unless contradicted by GBD or ABDS,,1
9000240,240,4,Enfermedad de Chagas,"Condiciones transmisibles, maternas, perinatales y nutricionales",Enfermedades infecciosas y parasitarias,Enfermedades parasitarias y transmitidas por vectores,Enfermedad de Chagas,B57,^(?:B57[0-9]?).*,1,1,both,1,0,not_checked,,Default structural rule: treat as potentially fatal and non-fatal unless explicit GBD/ABDS evidence indicates otherwise,Derived from project hierarchy / default unless contradicted by GBD or ABDS,,1
9000250,250,4,Esquistosomiasis,"Condiciones transmisibles, maternas, perinatales y nutricionales",Enfermedades infecciosas y parasitarias,Enfermedades parasitarias y transmitidas por vectores,Esquistosomiasis,B65,^(?:B65[0-9]?).*,1,1,both,1,0,not_checked,,Default structural rule: treat as potentially fatal and non-fatal unless explicit GBD/ABDS evidence indicates otherwise,Derived from project hierarchy / default unless contradicted by GBD or ABDS,,1
9000260,260,4,Leishmaniasis,"Condiciones transmisibles, maternas, perinatales y nutricionales",Enfermedades infecciosas y parasitarias,Enfermedades parasitarias y transmitidas por vectores,Leishmaniasis,B55,^(?:B55[0-9]?).*,1,1,both,1,0,not_checked,,Default structural rule: treat as potentially fatal and non-fatal unless explicit GBD/ABDS evidence indicates otherwise,Derived from project hierarchy / default unless contradicted by GBD or ABDS,,1
9000270,270,4,Filariasis linfática,"Condiciones transmisibles, maternas, perinatales y nutricionales",Enfermedades infecciosas y parasitarias,Enfermedades parasitarias y transmitidas por vectores,Filariasis linfática,B74.0-B74.2,^(?:B74[0-2]).*,0,1,yld_only,0,0,agree,,GBD exact/near-exact match,GBD 2021 hierarchy file,Redistribuir a infecciosas fatales hermanas del mismo bloque.,0
9000280,280,4,Oncocercosis,"Condiciones transmisibles, maternas, perinatales y nutricionales",Enfermedades infecciosas y parasitarias,Enfermedades parasitarias y transmitidas por vectores,Oncocercosis,B73,^(?:B73[0-9]?).*,0,1,yld_only,0,0,agree,,GBD exact/near-exact match,GBD 2021 hierarchy file,Redistribuir a infecciosas fatales hermanas del mismo bloque.,0
9000285,285,4,Cisticercosis,"Condiciones transmisibles, maternas, perinatales y nutricionales",Enfermedades infecciosas y parasitarias,Enfermedades parasitarias y transmitidas por vectores,Cisticercosis,B69,^(?:B69[0-9]?).*,1,1,both,1,0,not_checked,,Default structural rule: treat as potentially fatal and non-fatal unless explicit GBD/ABDS evidence indicates otherwise,Derived from project hierarchy / default unless contradicted by GBD or ABDS,,1
9000295,295,4,Equinococosis,"Condiciones transmisibles, maternas, perinatales y nutricionales",Enfermedades infecciosas y parasitarias,Enfermedades parasitarias y transmitidas por vectores,Equinococosis,B67,^(?:B67[0-9]?).*,1,1,both,1,0,not_checked,,Default structural rule: treat as potentially fatal and non-fatal unless explicit GBD/ABDS evidence indicates otherwise,Derived from project hierarchy / default unless contradicted by GBD or ABDS,,1
9000300,300,4,Dengue,"Condiciones transmisibles, maternas, perinatales y nutricionales",Enfermedades infecciosas y parasitarias,Enfermedades parasitarias y transmitidas por vectores,Dengue,A90-A91,^(?:A(?:90|91)[0-9]?).*,1,1,both,1,0,not_checked,,Default structural rule: treat as potentially fatal and non-fatal unless explicit GBD/ABDS evidence indicates otherwise,Derived from project hierarchy / default unless contradicted by GBD or ABDS,,1
9000310,310,4,Tracoma,"Condiciones transmisibles, maternas, perinatales y nutricionales",Enfermedades infecciosas y parasitarias,Enfermedades parasitarias y transmitidas por vectores,Tracoma,A71,^(?:A71[0-9]?).*,0,1,yld_only,0,0,agree,,GBD exact/near-exact match,GBD 2021 hierarchy file,Redistribuir a infecciosas fatales hermanas del mismo bloque.,0
9000315,315,4,Fiebre amarilla,"Condiciones transmisibles, maternas, perinatales y nutricionales",Enfermedades infecciosas y parasitarias,Enfermedades parasitarias y transmitidas por vectores,Fiebre amarilla,A95,^(?:A95[0-9]?).*,1,1,both,1,0,not_checked,,Default structural rule: treat as potentially fatal and non-fatal unless explicit GBD/ABDS evidence indicates otherwise,Derived from project hierarchy / default unless contradicted by GBD or ABDS,,1
9000320,320,4,Rabia,"Condiciones transmisibles, maternas, perinatales y nutricionales",Enfermedades infecciosas y parasitarias,Enfermedades parasitarias y transmitidas por vectores,Rabia,A82,^(?:A82[0-9]?).*,1,1,both,1,0,not_checked,,Default structural rule: treat as potentially fatal and non-fatal unless explicit GBD/ABDS evidence indicates otherwise,Derived from project hierarchy / default unless contradicted by GBD or ABDS,,1
9000330,330,3,Infecciones intestinales por nematodos,"Condiciones transmisibles, maternas, perinatales y nutricionales",Enfermedades infecciosas y parasitarias,Infecciones intestinales por nematodos,,B76-B81,^(?:B(?:76|77|78|79|80|81)[0-9]?).*,1,1,both,1,0,not_checked,,Derived from descendants: mixed and/or both components present,Derived from project hierarchy / default unless contradicted by GBD or ABDS,,0
9000340,340,4,Ascariasis,"Condiciones transmisibles, maternas, perinatales y nutricionales",Enfermedades infecciosas y parasitarias,Infecciones intestinales por nematodos,Ascariasis,B77,^(?:B77[0-9]?).*,1,1,both,1,0,not_checked,,Default structural rule: treat as potentially fatal and non-fatal unless explicit GBD/ABDS evidence indicates otherwise,Derived from project hierarchy / default unless contradicted by GBD or ABDS,,1
9000350,350,4,Trichuriasis,"Condiciones transmisibles, maternas, perinatales y nutricionales",Enfermedades infecciosas y parasitarias,Infecciones intestinales por nematodos,Trichuriasis,B79,^(?:B79[0-9]?).*,0,1,yld_only,0,0,agree,,GBD exact/near-exact match,GBD 2021 hierarchy file,Redistribuir a infecciosas fatales hermanas del mismo bloque.,0
9000360,360,4,Enfermedad por anquilostoma,"Condiciones transmisibles, maternas, perinatales y nutricionales",Enfermedades infecciosas y parasitarias,Infecciones intestinales por nematodos,Enfermedad por anquilostoma,B76,^(?:B76[0-9]?).*,0,1,yld_only,0,0,agree,,GBD exact/near-exact match,GBD 2021 hierarchy file,Redistribuir a infecciosas fatales hermanas del mismo bloque.,0
9000362,362,4,Trematodos transmitidos por alimentos,"Condiciones transmisibles, maternas, perinatales y nutricionales",Enfermedades infecciosas y parasitarias,Infecciones intestinales por nematodos,Trematodos transmitidos por alimentos,"B78, B80, B81",^(?:B78[0-9]?|B80[0-9]?|B81[0-9]?).*,0,1,yld_only,0,0,agree,,GBD exact/near-exact match,GBD 2021 hierarchy file,Redistribuir a infecciosas fatales hermanas del mismo bloque.,0
9000365,365,3,Lepra,"Condiciones transmisibles, maternas, perinatales y nutricionales",Enfermedades infecciosas y parasitarias,Lepra,,A30,^(?:A30[0-9]?).*,0,1,yld_only,0,0,agree,,GBD exact/near-exact match,GBD 2021 hierarchy file,Redistribuir a infecciosas fatales hermanas del mismo bloque.,0
9000370,370,3,Otras enfermedades infecciosas,"Condiciones transmisibles, maternas, perinatales y nutricionales",Enfermedades infecciosas y parasitarias,Otras enfermedades infecciosas,,"A02, A05, A20-A28, A31, A32, A38, A40-A49, A65-A70, A74-A79, A80-A81, A87-A99, B00-B04, B06-B09, B17.8, B25-B49, B58-B60, B64, B66, B68, B70-B72, B74.3-B74.9, B75, B82-B89, B91-B99 (menos B94.1), G14",^(?!B941$)(?:A02[0-9]?|A05[0-9]?|A(?:20|21|22|23|24|25|26|27|28)[0-9]?|A31[0-9]?|A32[0-9]?|A38[0-9]?|A(?:40|41|42|43|44|45|46|47|48|49)[0-9]?|A(?:65|66|67|68|69|70)[0-9]?|A(?:74|75|76|77|78|79)[0-9]?|A(?:80|81)[0-9]?|A(?:87|88|89|90|91|92|93|94|95|96|97|98|99)[0-9]?|B(?:00|01|02|03|04)[0-9]?|B(?:06|07|08|09)[0-9]?|B178|B(?:25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49)[0-9]?|B(?:58|59|60)[0-9]?|B64[0-9]?|B66[0-9]?|B68[0-9]?|B(?:70|71|72)[0-9]?|B74[3-9]|B75[0-9]?|B(?:82|83|84|85|86|87|88|89)[0-9]?|B(?:91|92|93|94|95|96|97|98|99)[0-9]?|G14[0-9]?).*,1,1,both,1,0,not_checked,,Default structural rule: treat as potentially fatal and non-fatal unless explicit GBD/ABDS evidence indicates otherwise,Derived from project hierarchy / default unless contradicted by GBD or ABDS,,1
9000380,380,2,Infecciones respiratorias,"Condiciones transmisibles, maternas, perinatales y nutricionales",Infecciones respiratorias,,,"H65-H66, J00-J22, P23, U04",^(?:H(?:65|66)[0-9]?|J(?:00|01|02|03|04|05|06|07|08|09|10|11|12|13|14|15|16|17|18|19|20|21|22)[0-9]?|P23[0-9]?|U04[0-9]?).*,1,1,both,1,0,not_checked,,Derived from descendants: mixed and/or both components present,Derived from project hierarchy / default unless contradicted by GBD or ABDS,,0
9000390,390,3,Infecciones de vías respiratorias inferiores,"Condiciones transmisibles, maternas, perinatales y nutricionales",Infecciones respiratorias,Infecciones de vías respiratorias inferiores,,"J09-J22, P23, U04, U07, U09-U10",^(?:J(?:09|10|11|12|13|14|15|16|17|18|19|20|21|22)[0-9]?|P23[0-9]?|U04[0-9]?|U07[0-9]?|U(?:09|10)[0-9]?).*,1,1,both,1,0,not_checked,,Default structural rule: treat as potentially fatal and non-fatal unless explicit GBD/ABDS evidence indicates otherwise,Derived from project hierarchy / default unless contradicted by GBD or ABDS,,1
9000395,395,3,COVID-19,"Condiciones transmisibles, maternas, perinatales y nutricionales",Infecciones respiratorias,COVID-19,,"U07, U09-U10",^(?:U07[0-9]?|U(?:09|10)[0-9]?).*,1,1,both,1,0,not_checked,,Default structural rule: treat as potentially fatal and non-fatal unless explicit GBD/ABDS evidence indicates otherwise,Derived from project hierarchy / default unless contradicted by GBD or ABDS,,1
9000400,400,3,Infecciones de vías respiratorias superiores,"Condiciones transmisibles, maternas, perinatales y nutricionales",Infecciones respiratorias,Infecciones de vías respiratorias superiores,,J00-J06,^(?:J(?:00|01|02|03|04|05|06)[0-9]?).*,1,1,both,1,0,not_checked,,Default structural rule: treat as potentially fatal and non-fatal unless explicit GBD/ABDS evidence indicates otherwise,Derived from project hierarchy / default unless contradicted by GBD or ABDS,,1
9000410,410,3,Otitis media,"Condiciones transmisibles, maternas, perinatales y nutricionales",Infecciones respiratorias,Otitis media,,H65-H66,^(?:H(?:65|66)[0-9]?).*,1,1,both,1,0,not_checked,,Default structural rule: treat as potentially fatal and non-fatal unless explicit GBD/ABDS evidence indicates otherwise,Derived from project hierarchy / default unless contradicted by GBD or ABDS,,1
9000420,420,2,Condiciones maternas,"Condiciones transmisibles, maternas, perinatales y nutricionales",Condiciones maternas,,,O00-O99,^(?:O(?:00|01|02|03|04|05|06|07|08|09|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|63|64|65|66|67|68|69|70|71|72|73|74|75|76|77|78|79|80|81|82|83|84|85|86|87|88|89|90|91|92|93|94|95|96|97|98|99)[0-9]?).*,1,1,both,0,1,not_checked,,Default structural rule: treat as potentially fatal and non-fatal unless explicit GBD/ABDS evidence indicates otherwise,Derived from project hierarchy / default unless contradicted by GBD or ABDS,,1
